Methanosarcina_acetivorans_0970 quast_strain	['922']
Methanosarcina_acetivorans_ancestor quast_strain	['863']
Methanosarcina_mazei_0970 quast_consensus	['961']
Methanosarcina_mazei_ancestor quast_consensus	['913']
Methanosarcina_mazei_ancestor quast_strain	['867']
Methanosarcina_mazei_0970 quast_strain	['925']
Methanothermobacter_thermautotrophicus_str._Delta_H_0970 quast_consensus	['1405']
Methanothermobacter_thermautotrophicus_str._Delta_H_0970 quast_strain	['1405']
Mycobacterium_avium_subsp._paratuberculosis_ancestor quast_consensus	['1263']
Mycobacterium_avium_subsp._paratuberculosis_ancestor quast_strain	['1263']
Mycobacterium_bovis_ancestor quast_consensus	['933']
Mycobacterium_bovis_0970 quast_consensus	['941']
Mycobacterium_bovis_0970 quast_strain	['895']
Mycobacterium_bovis_ancestor quast_strain	['889']
Mycobacterium_leprae_ancestor quast_consensus	['931']
Mycobacterium_leprae_0970 quast_consensus	['957']
Mycobacterium_leprae_ancestor quast_strain	['887']
Mycobacterium_leprae_0970 quast_strain	['925']
Mycobacterium_tuberculosis_CDC1551_0970 quast_consensus	['930']
Mycobacterium_tuberculosis_CDC1551_ancestor quast_consensus	['910']
Mycobacterium_tuberculosis_CDC1551_ancestor quast_strain	['870']
Mycobacterium_tuberculosis_CDC1551_0970 quast_strain	['888']
Mycobacterium_tuberculosis_H37Rv_0970 quast_consensus	['908']
Mycobacterium_tuberculosis_H37Rv_ancestor quast_consensus	['906']
Mycobacterium_tuberculosis_H37Rv_ancestor quast_strain	['868']
Mycobacterium_tuberculosis_H37Rv_0970 quast_strain	['869']
Mycoplasma_gallisepticum_ancestor quast_consensus	['891']
Mycoplasma_gallisepticum_0970 quast_consensus	['927']
Mycoplasma_gallisepticum_ancestor quast_strain	['831']
Mycoplasma_gallisepticum_0970 quast_strain	['880']
Mycoplasma_genitalium_0970 quast_consensus	['877']
Mycoplasma_genitalium_ancestor quast_consensus	['866']
Mycoplasma_genitalium_0970 quast_strain	['830']
Mycoplasma_genitalium_ancestor quast_strain	['829']
Mycoplasma_mobile_163K_ancestor quast_consensus	['879']
Mycoplasma_mobile_163K_0970 quast_consensus	['877']
Mycoplasma_mobile_163K_0970 quast_strain	['827']
Mycoplasma_mobile_163K_ancestor quast_strain	['799']
Mycoplasma_mycoides_subsp._mycoides_SC_ancestor quast_consensus	['732']
Mycoplasma_mycoides_subsp._mycoides_SC_0970 quast_consensus	['844']
Mycoplasma_mycoides_subsp._mycoides_SC_0970 quast_strain	['793']
Mycoplasma_mycoides_subsp._mycoides_SC_ancestor quast_strain	['651']
Mycoplasma_penetrans_0970 quast_consensus	['881']
Mycoplasma_penetrans_ancestor quast_consensus	['869']
Mycoplasma_penetrans_0970 quast_strain	['815']
Mycoplasma_penetrans_ancestor quast_strain	['821']
Mycoplasma_pneumoniae_ancestor quast_consensus	['955']
Mycoplasma_pneumoniae_0970 quast_consensus	['989']
Mycoplasma_pneumoniae_0970 quast_strain	['955']
Mycoplasma_pneumoniae_ancestor quast_strain	['909']
Mycoplasma_pulmonis_ancestor quast_consensus	['870']
Mycoplasma_pulmonis_0970 quast_consensus	['890']
Mycoplasma_pulmonis_0970 quast_strain	['855']
Mycoplasma_pulmonis_ancestor quast_strain	['816']
Nanoarchaeum_equitans_ancestor quast_consensus	['930']
Nanoarchaeum_equitans_0970 quast_consensus	['907']
Nanoarchaeum_equitans_ancestor quast_strain	['863']
Nanoarchaeum_equitans_0970 quast_strain	['862']
Neisseria_meningitidis_serogroup_A_ancestor quast_consensus	['871']
Neisseria_meningitidis_serogroup_A_0970 quast_consensus	['949']
Neisseria_meningitidis_serogroup_A_0970 quast_strain	['911']
Neisseria_meningitidis_serogroup_A_ancestor quast_strain	['836']
Neisseria_meningitidis_serogroup_B_0970 quast_consensus	['965']
Neisseria_meningitidis_serogroup_B_ancestor quast_consensus	['884']
Neisseria_meningitidis_serogroup_B_ancestor quast_strain	['838']
Neisseria_meningitidis_serogroup_B_0970 quast_strain	['932']
Nitrosomonas_europaea_ancestor quast_consensus	['937']
Nitrosomonas_europaea_0970 quast_consensus	['964']
Nitrosomonas_europaea_ancestor quast_strain	['891']
Nitrosomonas_europaea_0970 quast_strain	['939']
Oceanobacillus_iheyensis_0970 quast_consensus	['916']
Oceanobacillus_iheyensis_ancestor quast_consensus	['930']
Oceanobacillus_iheyensis_ancestor quast_strain	['892']
Oceanobacillus_iheyensis_0970 quast_strain	['882']
Onion_yellows_phytoplasma_ancestor quast_consensus	['739']
Onion_yellows_phytoplasma_0970 quast_consensus	['888']
Onion_yellows_phytoplasma_0970 quast_strain	['827']
Onion_yellows_phytoplasma_ancestor quast_strain	['690']
Pasteurella_multocida_ancestor quast_consensus	['937']
Pasteurella_multocida_0970 quast_consensus	['974']
Pasteurella_multocida_ancestor quast_strain	['888']
Pasteurella_multocida_0970 quast_strain	['949']
Photorhabdus_luminescens_subsp._laumondii_ancestor quast_consensus	['1320']
Photorhabdus_luminescens_subsp._laumondii_ancestor quast_strain	['1320']
Porphyromonas_gingivalis_0970 quast_consensus	['949']
Porphyromonas_gingivalis_ancestor quast_consensus	['911']
Porphyromonas_gingivalis_0970 quast_strain	['913']
Porphyromonas_gingivalis_ancestor quast_strain	['879']
Prochlorococcus_marinus_ancestor quast_consensus	['955']
Prochlorococcus_marinus_0970 quast_consensus	['975']
Prochlorococcus_marinus_0970 quast_strain	['927']
Prochlorococcus_marinus_ancestor quast_strain	['917']
Prochlorococcus_marinus_str._MIT_9313_0970 quast_consensus	['980']
Prochlorococcus_marinus_str._MIT_9313_ancestor quast_consensus	['979']
Prochlorococcus_marinus_str._MIT_9313_0970 quast_strain	['944']
Prochlorococcus_marinus_str._MIT_9313_ancestor quast_strain	['946']
Prochlorococcus_marinus_subsp._pastoris_str._CCMP1986_ancestor quast_consensus	['1265']
Prochlorococcus_marinus_subsp._pastoris_str._CCMP1986_ancestor quast_strain	['1265']
Pseudomonas_aeruginosa_ancestor quast_consensus	['892']
Pseudomonas_aeruginosa_0970 quast_consensus	['927']
Pseudomonas_aeruginosa_0970 quast_strain	['884']
Pseudomonas_aeruginosa_ancestor quast_strain	['847']
Pseudomonas_putida_KT2440_0970 quast_consensus	['958']
Pseudomonas_putida_KT2440_ancestor quast_consensus	['947']
Pseudomonas_putida_KT2440_0970 quast_strain	['919']
Pseudomonas_putida_KT2440_ancestor quast_strain	['898']
Pseudomonas_syringae_pv._tomato_0970 quast_consensus	['954']
Pseudomonas_syringae_pv._tomato_ancestor quast_consensus	['934']
Pseudomonas_syringae_pv._tomato_ancestor quast_strain	['895']
Pseudomonas_syringae_pv._tomato_0970 quast_strain	['913']
Pyrobaculum_aerophilum_ancestor quast_consensus	['963']
Pyrobaculum_aerophilum_0970 quast_consensus	['982']
Pyrobaculum_aerophilum_ancestor quast_strain	['934']
Pyrobaculum_aerophilum_0970 quast_strain	['956']
Pyrococcus_abyssi_0970 quast_consensus	['981']
Pyrococcus_abyssi_ancestor quast_consensus	['981']
Pyrococcus_abyssi_0970 quast_strain	['938']
Pyrococcus_abyssi_ancestor quast_strain	['929']
Pyrococcus_furiosus_ancestor quast_consensus	['954']
Pyrococcus_furiosus_0970 quast_consensus	['970']
Pyrococcus_furiosus_ancestor quast_strain	['909']
Pyrococcus_furiosus_0970 quast_strain	['924']
Pyrococcus_horikoshii_0970 quast_consensus	['961']
Pyrococcus_horikoshii_ancestor quast_consensus	['984']
Pyrococcus_horikoshii_0970 quast_strain	['916']
Pyrococcus_horikoshii_ancestor quast_strain	['934']
Ralstonia_solanacearum_ancestor quast_consensus	['932']
Ralstonia_solanacearum_0970 quast_consensus	['945']
Ralstonia_solanacearum_0970 quast_strain	['889']
Ralstonia_solanacearum_ancestor quast_strain	['880']
Rhodopseudomonas_palustris_0970 quast_consensus	['939']
Rhodopseudomonas_palustris_ancestor quast_consensus	['946']
Rhodopseudomonas_palustris_ancestor quast_strain	['894']
Rhodopseudomonas_palustris_0970 quast_strain	['885']
Rickettsia_conorii_ancestor quast_consensus	['913']
Rickettsia_conorii_0970 quast_consensus	['942']
Rickettsia_conorii_0970 quast_strain	['902']
Rickettsia_conorii_ancestor quast_strain	['895']
Rickettsia_prowazekii_ancestor quast_consensus	['936']
Rickettsia_prowazekii_0970 quast_consensus	['905']
Rickettsia_prowazekii_ancestor quast_strain	['872']
Rickettsia_prowazekii_0970 quast_strain	['842']
Salmonella_enterica_subsp._enterica_serovar_Typhi_Ty2_0970 quast_consensus	['1374']
Salmonella_enterica_subsp._enterica_serovar_Typhi_Ty2_0970 quast_strain	['1374']
Salmonella_typhi_0970 quast_consensus	['979']
Salmonella_typhi_ancestor quast_consensus	['972']
Salmonella_typhi_0970 quast_strain	['944']
Salmonella_typhi_ancestor quast_strain	['930']
Shewanella_oneidensis_0970 quast_consensus	['948']
Shewanella_oneidensis_ancestor quast_consensus	['916']
Shewanella_oneidensis_0970 quast_strain	['906']
Shewanella_oneidensis_ancestor quast_strain	['874']
Shigella_flexneri_ancestor quast_consensus	['883']
Shigella_flexneri_0970 quast_consensus	['955']
Shigella_flexneri_ancestor quast_strain	['848']
Shigella_flexneri_0970 quast_strain	['920']
Shigella_flexneri_2a_str._2457T_ancestor quast_consensus	['910']
Shigella_flexneri_2a_str._2457T_0970 quast_consensus	['960']
Shigella_flexneri_2a_str._2457T_0970 quast_strain	['924']
Shigella_flexneri_2a_str._2457T_ancestor quast_strain	['878']
Sinorhizobium_meliloti_0970 quast_consensus	['950']
Sinorhizobium_meliloti_ancestor quast_consensus	['929']
Sinorhizobium_meliloti_ancestor quast_strain	['887']
Sinorhizobium_meliloti_0970 quast_strain	['909']
Solibacter_usitatus_Ellin6076_ancestor quast_consensus	['950']
Solibacter_usitatus_Ellin6076_0970 quast_consensus	['950']
Solibacter_usitatus_Ellin6076_ancestor quast_strain	['903']
Solibacter_usitatus_Ellin6076_0970 quast_strain	['914']
Staphylococcus_aureus_subsp._aureus_Mu50_ancestor quast_consensus	['1288']
Staphylococcus_aureus_subsp._aureus_Mu50_ancestor quast_strain	['1288']
Staphylococcus_aureus_subsp._aureus_MW2_ancestor quast_consensus	['1320']
Staphylococcus_aureus_subsp._aureus_MW2_ancestor quast_strain	['1320']
Staphylococcus_aureus_subsp._aureus_N315_ancestor quast_consensus	['1327']
Staphylococcus_aureus_subsp._aureus_N315_ancestor quast_strain	['1327']
Staphylococcus_epidermidis_0970 quast_consensus	['948']
Staphylococcus_epidermidis_ancestor quast_consensus	['939']
Staphylococcus_epidermidis_ancestor quast_strain	['881']
Staphylococcus_epidermidis_0970 quast_strain	['890']
Streptococcus_agalactiae_serogroup_III_0970 quast_consensus	['903']
Streptococcus_agalactiae_serogroup_III_ancestor quast_consensus	['868']
Streptococcus_agalactiae_serogroup_III_0970 quast_strain	['871']
Streptococcus_agalactiae_serogroup_III_ancestor quast_strain	['820']
Streptococcus_agalactiae_serogroup_V_ancestor quast_consensus	['928']
Streptococcus_agalactiae_serogroup_V_0970 quast_consensus	['948']
Streptococcus_agalactiae_serogroup_V_ancestor quast_strain	['879']
Streptococcus_agalactiae_serogroup_V_0970 quast_strain	['915']
Streptococcus_mutans_ancestor quast_consensus	['936']
Streptococcus_mutans_0970 quast_consensus	['937']
Streptococcus_mutans_ancestor quast_strain	['893']
Streptococcus_mutans_0970 quast_strain	['900']
Streptococcus_pneumoniae_ancestor quast_consensus	['926']
Streptococcus_pneumoniae_0970 quast_consensus	['969']
Streptococcus_pneumoniae_0970 quast_strain	['927']
Streptococcus_pneumoniae_ancestor quast_strain	['892']
Streptococcus_pneumoniae_R6_ancestor quast_consensus	['935']
Streptococcus_pneumoniae_R6_0970 quast_consensus	['954']
Streptococcus_pneumoniae_R6_0970 quast_strain	['912']
Streptococcus_pneumoniae_R6_ancestor quast_strain	['898']
